employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,commission_pct,manager_id,department_id
100,Steven,King,SKING,5151234567,17/06/1987,AD_PRES,24000,,0,90
101,Neena,Kochhar,NKOCHHAR,5151234568,21/09/1989,AD_VP,17000,,100,90
102,Lex,De Haan,LDEHAAN,5151234569,13/01/1993,AD_VP,17000,,100,90
103,Alexander,Hunold,AHUNOLD,5904234567,03/01/1990,IT_PROG,9000,,102,60
104,Bruce,Ernst,BERNST,5904234568,21/05/1991,IT_PROG,6000,,103,60
105,David,Austin,DAUSTIN,5904234569,25/06/1997,IT_PROG,4800,,103,60
106,Valli,Pataballa,VPATABAL,5904234560,05/02/1998,IT_PROG,4800,,103,60
107,Diana,Lorentz,DLORENTZ,5904235567,07/02/1999,IT_PROG,4200,,103,60
108,Nancy,Greenberg,NGREENBE,5151244569,17/08/1994,FI_MGR,12000,,101,100
109,Daniel,Faviet,DFAVIET,5151244169,16/08/1994,FI_ACCOUNT,9000,,108,100
110,John,Chen,JCHEN,5151244269,28/09/1997,FI_ACCOUNT,8200,,108,100
111,Ismael,Sciarra,ISCIARRA,5151244369,30/09/1997,FI_ACCOUNT,7700,,108,100
112,Jose Manuel,Urman,JMURMAN,5151244469,07/03/1998,FI_ACCOUNT,7800,,108,100
113,Luis,Popp,LPOPP,5151244567,07/12/1999,FI_ACCOUNT,6900,,108,100
114,Den,Raphaely,DRAPHEAL,5151274561,07/12/1994,PU_MAN,11000,,100,30
115,Alexander,Khoo,AKHOO,5151274562,18/05/1995,PU_CLERK,3100,,114,30
116,Shelli,Baida,SBAIDA,5151274563,24/12/1997,PU_CLERK,2900,,114,30
117,Sigal,Tobias,STOBIAS,5151274564,24/07/1997,PU_CLERK,2800,,114,30
118,Guy,Himuro,GHIMURO,5151274565,15/11/1998,PU_CLERK,2600,,114,30
119,Karen,Colmenares,KCOLMENA,5151274566,10/08/1999,PU_CLERK,2500,,114,30
